_id,CUS_ID,STAFF_ID,DATECREATED,STATUS,TOTAL,NAME,PHONE,ADDRESS,TIME,NOTE
5feaef7993f2e60091f5edeb,5feaef7993f2e60091f5ed71,5feaef7993f2e60091f5eef8,2019-04-21T14:36:27.320Z,1,1409,Christian Meyers,123-252-8125,865 Rocky Old Freeway,4:00,
5feaef7993f2e60091f5edb5,5feaef7993f2e60091f5ed63,5feaef7993f2e60091f5eedd,2019-09-21T23:38:39.930Z,1,1222,Glenda Watts,(771) 749-7295,795 Oak Boulevard,5:00,
5feaef7993f2e60091f5edec,5feaef7993f2e60091f5ed63,5feaef7993f2e60091f5eece,2019-09-20T06:12:26.670Z,1,1161,Glenda Watts,(771) 749-7295,795 Oak Boulevard,6:00,
5feaef7993f2e60091f5edcf,5feaef7993f2e60091f5ed7d,5feaef7993f2e60091f5eece,2019-02-14T15:01:17.100Z,1,1159,Alan Walsh,363-811-2581,509 East Green Oak Street,7:00,
5feaef7993f2e60091f5edc2,5feaef7993f2e60091f5ed7f,5feaef7993f2e60091f5eedd,2019-10-19T01:50:14.730Z,1,1118,Bridgett Gamble,095-707-9164,14 New Road,8:00,
5feaef7993f2e60091f5edf2,5feaef7993f2e60091f5ed71,5feaef7993f2e60091f5eece,2019-06-17T06:20:02.100Z,1,1069,Christian Meyers,123-252-8125,865 Rocky Old Freeway,9:00,
5feaef7993f2e60091f5edf4,5feaef7993f2e60091f5ed7b,5feaef7993f2e60091f5eedd,2019-12-21T14:01:19.680Z,1,1002,Katina Pitts,(724) 685-3795,499 East Second Drive,10:00,
5feaef7993f2e60091f5ede4,5feaef7993f2e60091f5ed6d,5feaef7993f2e60091f5eece,2019-12-10T12:11:07.630Z,1,803,Kent Rich,(020) 003-7836,,11:00,
5feaef7993f2e60091f5eddf,5feaef7993f2e60091f5ed7d,5feaef7993f2e60091f5eedd,2016-09-29T01:41:34.720Z,1,714,Alan Walsh,363-811-2581,509 East Green Oak Street,12:00,
5feaef7993f2e60091f5edf0,5feaef7993f2e60091f5ed77,5feaef7993f2e60091f5eef8,2016-09-07T03:21:27.470Z,1,492,Oliver Ochoa,250-500-8483,715 Green Second Way,13:00,
5feaef7993f2e60091f5ee00,5feaef7993f2e60091f5ed6d,5feaef7993f2e60091f5eedd,2018-09-01T14:30:01.120Z,1,492,Kent Rich,(020) 003-7836,,14:00,
5feaef7993f2e60091f5edc7,5feaef7993f2e60091f5ed7d,5feaef7993f2e60091f5eedd,2018-02-17T04:41:19.880Z,1,353,Alan Walsh,363-811-2581,509 East Green Oak Street,15:00,
5feaef7993f2e60091f5edbb,5feaef7993f2e60091f5ed71,5feaef7993f2e60091f5eece,2016-11-24T02:29:47.650Z,1,328,Christian Meyers,123-252-8125,865 Rocky Old Freeway,16:00,
5feaef7993f2e60091f5edc8,5feaef7993f2e60091f5ed6a,5feaef7993f2e60091f5eef8,2018-03-26T12:27:45.900Z,1,328,Ronnie Collins,337-042-4107,569 Old Freeway,17:00,
5feaef7993f2e60091f5edce,5feaef7993f2e60091f5ed77,5feaef7993f2e60091f5eece,2018-02-26T10:14:44.900Z,1,328,Oliver Ochoa,250-500-8483,715 Green Second Way,18:00,
5feaef7993f2e60091f5edd2,5feaef7993f2e60091f5ed77,5feaef7993f2e60091f5eedd,2017-02-13T21:21:46.340Z,1,328,Oliver Ochoa,250-500-8483,715 Green Second Way,19:00,
5feaef7993f2e60091f5edbd,5feaef7993f2e60091f5ed77,5feaef7993f2e60091f5eef8,2017-02-04T11:23:06.010Z,1,287,Oliver Ochoa,250-500-8483,715 Green Second Way,20:00,
5feaef7993f2e60091f5ede3,5feaef7993f2e60091f5ed6c,5feaef7993f2e60091f5eef8,2018-08-10T21:27:20.120Z,1,287,Cassie Welch,(375) 598-1698,202 Clarendon St.,21:00,
5feaef7993f2e60091f5edef,5feaef7993f2e60091f5ed69,5feaef7993f2e60091f5eedd,2018-06-24T13:41:12.120Z,1,287,Shirley Velazquez,(048) 498-5532,98 Old Street,22:00,
5feaef7993f2e60091f5edf8,5feaef7993f2e60091f5ed75,5feaef7993f2e60091f5eedd,2019-03-08T09:14:13.690Z,1,287,Raul Grant,955-939-6269,60 Rocky Cowley Drive,23:00,
5feaef7993f2e60091f5edff,5feaef7993f2e60091f5ed71,5feaef7993f2e60091f5eef8,2017-01-16T05:16:32.780Z,1,287,Christian Meyers,123-252-8125,865 Rocky Old Freeway,0:00,
5feaef7993f2e60091f5edb7,5feaef7993f2e60091f5ed6a,5feaef7993f2e60091f5eece,2019-06-22T01:29:44.830Z,1,246,Ronnie Collins,337-042-4107,569 Old Freeway,1:00,
5feaef7993f2e60091f5edc3,5feaef7993f2e60091f5ed71,5feaef7993f2e60091f5eedd,2019-09-15T00:08:16.020Z,1,246,Christian Meyers,123-252-8125,865 Rocky Old Freeway,2:00,
5feaef7993f2e60091f5ede0,5feaef7993f2e60091f5ed6b,5feaef7993f2e60091f5eedd,2018-06-02T17:12:09.750Z,1,246,Cari Frank,(884) 077-9043,714 Rocky New Road,3:00,
5feaef7993f2e60091f5ede7,5feaef7993f2e60091f5ed71,5feaef7993f2e60091f5eece,2018-08-17T21:04:35.830Z,1,246,Christian Meyers,123-252-8125,865 Rocky Old Freeway,4:00,
5feaef7993f2e60091f5ede8,5feaef7993f2e60091f5ed71,5feaef7993f2e60091f5eef8,2018-07-06T00:45:42.940Z,1,246,Christian Meyers,123-252-8125,865 Rocky Old Freeway,5:00,
5feaef7993f2e60091f5ede9,5feaef7993f2e60091f5ed7a,5feaef7993f2e60091f5eece,2019-10-12T13:39:07.460Z,1,246,Dean Key,(613) 669-8768,465 New Drive,6:00,
5feaef7993f2e60091f5edfc,5feaef7993f2e60091f5ed69,5feaef7993f2e60091f5eef8,2017-06-16T18:09:05.560Z,1,246,Shirley Velazquez,(048) 498-5532,98 Old Street,7:00,
5feaef7993f2e60091f5ee10,5feaef7993f2e60091f5ed63,5feaef7993f2e60091f5eef8,2017-12-02T22:10:38.380Z,1,246,Glenda Watts,(771) 749-7295,795 Oak Boulevard,8:00,
5feaef7993f2e60091f5ee12,5feaef7993f2e60091f5ed69,5feaef7993f2e60091f5eece,2017-06-22T12:00:29.960Z,1,246,Shirley Velazquez,(048) 498-5532,98 Old Street,9:00,
5feaef7993f2e60091f5ee15,5feaef7993f2e60091f5ed7f,5feaef7993f2e60091f5eef8,2019-04-19T06:29:43.190Z,1,246,Bridgett Gamble,095-707-9164,14 New Road,10:00,
5feaef7993f2e60091f5edb4,5feaef7993f2e60091f5ed63,5feaef7993f2e60091f5eef8,2018-06-05T16:16:07.100Z,1,205,Glenda Watts,(771) 749-7295,795 Oak Boulevard,11:00,
5feaef7993f2e60091f5edb8,5feaef7993f2e60091f5ed7f,5feaef7993f2e60091f5eedd,2018-11-09T11:52:48.000Z,1,205,Bridgett Gamble,095-707-9164,14 New Road,12:00,
5feaef7993f2e60091f5edba,5feaef7993f2e60091f5ed77,5feaef7993f2e60091f5eedd,2019-06-22T15:23:56.800Z,1,205,Oliver Ochoa,250-500-8483,715 Green Second Way,13:00,
5feaef7993f2e60091f5edc0,5feaef7993f2e60091f5ed69,5feaef7993f2e60091f5eedd,2019-12-25T20:06:54.770Z,1,205,Shirley Velazquez,(048) 498-5532,98 Old Street,14:00,
5feaef7993f2e60091f5edc9,5feaef7993f2e60091f5ed7d,5feaef7993f2e60091f5eef8,2019-02-14T01:39:39.790Z,1,205,Alan Walsh,363-811-2581,509 East Green Oak Street,15:00,
5feaef7993f2e60091f5edcb,5feaef7993f2e60091f5ed6c,5feaef7993f2e60091f5eedd,2018-01-13T10:13:10.190Z,1,205,Cassie Welch,(375) 598-1698,202 Clarendon St.,16:00,
5feaef7993f2e60091f5edd4,5feaef7993f2e60091f5ed69,5feaef7993f2e60091f5eef8,2019-02-26T00:40:04.170Z,1,205,Shirley Velazquez,(048) 498-5532,98 Old Street,17:00,
5feaef7993f2e60091f5edd8,5feaef7993f2e60091f5ed75,5feaef7993f2e60091f5eedd,2019-06-20T06:57:47.510Z,1,205,Raul Grant,955-939-6269,60 Rocky Cowley Drive,18:00,
5feaef7993f2e60091f5ede1,5feaef7993f2e60091f5ed69,5feaef7993f2e60091f5eece,2019-09-02T19:11:04.950Z,1,205,Shirley Velazquez,(048) 498-5532,98 Old Street,19:00,
5feaef7993f2e60091f5edfe,5feaef7993f2e60091f5ed69,5feaef7993f2e60091f5eef8,2019-10-13T21:20:49.080Z,1,205,Shirley Velazquez,(048) 498-5532,98 Old Street,20:00,
5feaef7993f2e60091f5ee02,5feaef7993f2e60091f5ed69,5feaef7993f2e60091f5eece,2019-08-12T17:01:00.450Z,1,205,Shirley Velazquez,(048) 498-5532,98 Old Street,21:00,
5feaef7993f2e60091f5ee03,5feaef7993f2e60091f5ed71,5feaef7993f2e60091f5eece,2016-09-06T04:55:42.160Z,1,205,Christian Meyers,123-252-8125,865 Rocky Old Freeway,22:00,
5feaef7993f2e60091f5ee04,5feaef7993f2e60091f5ed63,5feaef7993f2e60091f5eece,2018-01-30T07:12:12.790Z,1,205,Glenda Watts,(771) 749-7295,795 Oak Boulevard,23:00,
5feaef7993f2e60091f5ee06,5feaef7993f2e60091f5ed63,5feaef7993f2e60091f5eef8,2019-03-07T02:50:09.480Z,1,205,Glenda Watts,(771) 749-7295,795 Oak Boulevard,0:00,
5feaef7993f2e60091f5ee08,5feaef7993f2e60091f5ed78,5feaef7993f2e60091f5eece,2017-08-18T13:53:01.970Z,1,205,Susan Little,679-362-6355,50 South Rocky Second Street,1:00,
5feaef7993f2e60091f5ee09,5feaef7993f2e60091f5ed7f,5feaef7993f2e60091f5eece,2018-06-29T00:17:10.510Z,1,205,Bridgett Gamble,095-707-9164,14 New Road,2:00,
5feaef7993f2e60091f5edb3,5feaef7993f2e60091f5ed77,5feaef7993f2e60091f5eef8,2017-02-01T01:33:22.660Z,1,164,Oliver Ochoa,250-500-8483,715 Green Second Way,3:00,
5feaef7993f2e60091f5edb9,5feaef7993f2e60091f5ed7f,5feaef7993f2e60091f5eef8,2018-04-04T13:36:12.370Z,1,164,Bridgett Gamble,095-707-9164,14 New Road,4:00,
5feaef7993f2e60091f5edc5,5feaef7993f2e60091f5ed78,5feaef7993f2e60091f5eedd,2018-10-06T10:51:27.530Z,1,164,Susan Little,679-362-6355,50 South Rocky Second Street,5:00,
5feaef7993f2e60091f5edc6,5feaef7993f2e60091f5ed71,5feaef7993f2e60091f5eef8,2018-03-06T20:29:23.290Z,1,164,Christian Meyers,123-252-8125,865 Rocky Old Freeway,6:00,
5feaef7993f2e60091f5edca,5feaef7993f2e60091f5ed7f,5feaef7993f2e60091f5eedd,2016-08-02T17:26:13.250Z,1,164,Bridgett Gamble,095-707-9164,14 New Road,7:00,
5feaef7993f2e60091f5edd3,5feaef7993f2e60091f5ed77,5feaef7993f2e60091f5eece,2018-08-23T07:52:15.410Z,1,164,Oliver Ochoa,250-500-8483,715 Green Second Way,8:00,
5feaef7993f2e60091f5edd7,5feaef7993f2e60091f5ed7d,5feaef7993f2e60091f5eece,2018-01-24T10:44:45.130Z,1,164,Alan Walsh,363-811-2581,509 East Green Oak Street,9:00,
5feaef7993f2e60091f5edde,5feaef7993f2e60091f5ed77,5feaef7993f2e60091f5eece,2017-01-13T11:09:38.670Z,1,164,Oliver Ochoa,250-500-8483,715 Green Second Way,10:00,
5feaef7993f2e60091f5edf1,5feaef7993f2e60091f5ed7b,5feaef7993f2e60091f5eece,2016-12-07T00:22:39.690Z,1,164,Katina Pitts,(724) 685-3795,499 East Second Drive,11:00,
5feaef7993f2e60091f5edf3,5feaef7993f2e60091f5ed78,5feaef7993f2e60091f5eedd,2017-09-26T04:39:55.480Z,1,164,Susan Little,679-362-6355,50 South Rocky Second Street,12:00,
5feaef7993f2e60091f5edfd,5feaef7993f2e60091f5ed79,5feaef7993f2e60091f5eef8,2017-03-09T05:07:25.850Z,1,164,Anitra O'Neal,342-854-5985,98 Cowley Boulevard,13:00,
5feaef7993f2e60091f5ee0b,5feaef7993f2e60091f5ed80,5feaef7993f2e60091f5eedd,2019-05-16T11:00:56.710Z,1,164,Bobbi Zhang,(047) 942-0393,496 White New Drive,14:00,
5feaef7993f2e60091f5ee0f,5feaef7993f2e60091f5ed71,5feaef7993f2e60091f5eedd,2019-05-07T04:20:44.450Z,1,164,Christian Meyers,123-252-8125,865 Rocky Old Freeway,15:00,
