_id,CUS_EMAIL,PASSWORD,CUS_NAME,CUS_PHONE,CUS_ADDRESS,IS_VERIFIED,IS_LOCK,PASSWORD_RESET_EXPIRES,CODE,DATE_CODE_EXPRIRE,,BIRTHDAY
5feaef7993f2e60091f5ed63,qkifywk.ispnqx@gmail.com,$2y$10$ega3nIlwKB7tBJyhgdx/jO.CTxuptRK4Awm4XtzD44hWYp0gCpaT. ,Glenda Watts,(771) 749-7295,795 Oak Boulevard,FALSE,FALSE,173812842552,,,,2001-09-09
5feaef7993f2e60091f5ed64,pfmiaqos.nbwjsbkv@gmail.com,$2y$10$Cz5bF7u6jVIE6Lmc/XlsVOrllgoA7gekUyVQc5ygHCHJXa8sCuzq2 ,Josh Cole,(882) 659-9907,894 Green Oak Parkway,FALSE,FALSE,191886292940,,,,2000-03-03
5feaef7993f2e60091f5ed65,zdpnb.jgzdpn@gmail.com,"$2y$10$k5dN3VKyfbzLScjHZId1pO/I9iXHyPE3tkH2WCBmZfHUnezGly57W 
",Aisha Torres,128-576-9650,428 White New Boulevard,TRUE,TRUE,176395534061,,,,2002-05-28
5feaef7993f2e60091f5ed66,eqiyw.vbnxbttp@gmail.com,"$2y$10$w4QJ.AWAPVrc/xuoCR2INeqF20sZOa7xY4wQOXXNDepFOkP/Hp02K 
",Roger Cuevas,511-406-0532,64 First Way,FALSE,FALSE,186462583484,,,,2003-07-26
5feaef7993f2e60091f5ed67,vjyttps3@gmail.com,"$2y$10$M4FXaJz8p7Ih6v2WnXuYguzdUsI6wX8zNJuegHccvVPSDmnY6z7cq 
",Robin Bolton,929-919-3274,220 Cowley Drive,TRUE,TRUE,191149102603,,,,1997-07-29
5feaef7993f2e60091f5ed68,vlkjf.mwxoq@gmail.com,"$2y$10$40DCL3kAAhg4HHDjrZNWX.flJ.GHywoV2lhjTRi5xGLI13BNnG6AO 
",Timothy Myers,512-918-8609,640 Green Oak Way,TRUE,TRUE,182210453158,,,,2002-07-21
5feaef7993f2e60091f5ed69,ahqcfnkh.nlctelbry@gmail.com,"$2y$10$0ziJgKHd3QFtOlHgJbMYxOQMsoKKCAyGvTDkHoRoQs4Rm7rRaEES6 
",Shirley Velazquez,(048) 498-5532,98 Old Street,TRUE,TRUE,180346584258,,,,1999-02-11
5feaef7993f2e60091f5ed6a,tvtlzqw302@gmail.com,"$2y$10$/bKNosCtp71UfLG9zmSs1.0PbCvKOEmGgwfGnAhtR3DNkB6TTZ5WO 
",Ronnie Collins,337-042-4107,569 Old Freeway,TRUE,TRUE,192599395265,,,,1998-10-27
5feaef7993f2e60091f5ed6b,rdku@gmail.com,"$2y$10$j0VzEbwnZl.Odr1GAw/RROqTB9BCkrh0POBQiqtqe2JR7LbkTUxSq 
",Cari Frank,(884) 077-9043,714 Rocky New Road,TRUE,FALSE,185633455921,,,,2003-05-21
5feaef7993f2e60091f5ed6c,ukklqhy801@gmail.com,"$2y$10$AetKuXlPtU3FFwec1wnnxuD6yfgRU3zjyAkjedB1ba5Js5WsC1Rbq 
",Cassie Welch,(375) 598-1698,202 Clarendon St.,TRUE,FALSE,175483141184,,,,1996-06-29
